Simulation,Format,Player,Wins
0,FFA_Round0,Player 1,2.0
0,FFA_Round0,Player 2,3.0
0,FFA_Round0,Player 3,1.0
0,FFA_Round0,Player 4,9.0
0,FFA_Round0,Player 5,6.0
0,FFA_Round0,Player 6,9.0
0,FFA_Round0,Player 7,5.0
0,FFA_Round0,Player 8,0.0
0,FFA_Round0,Player 9,10.0
0,FFA_Round0,Player 10,5.0
1,FFA_Round0,Player 1,2.0
1,FFA_Round0,Player 2,3.0
1,FFA_Round0,Player 3,6.0
1,FFA_Round0,Player 4,2.0
1,FFA_Round0,Player 5,1.0
1,FFA_Round0,Player 6,4.0
1,FFA_Round0,Player 7,0.0
1,FFA_Round0,Player 8,6.0
1,FFA_Round0,Player 9,14.0
1,FFA_Round0,Player 10,12.0
2,FFA_Round0,Player 1,2.0
2,FFA_Round0,Player 2,2.0
2,FFA_Round0,Player 3,4.0
2,FFA_Round0,Player 4,8.0
2,FFA_Round0,Player 5,4.0
2,FFA_Round0,Player 6,4.0
2,FFA_Round0,Player 7,10.0
2,FFA_Round0,Player 8,5.0
2,FFA_Round0,Player 9,2.0
2,FFA_Round0,Player 10,9.0
3,FFA_Round0,Player 1,1.0
3,FFA_Round0,Player 2,4.0
3,FFA_Round0,Player 3,6.0
3,FFA_Round0,Player 4,4.0
3,FFA_Round0,Player 5,0.0
3,FFA_Round0,Player 6,6.0
3,FFA_Round0,Player 7,7.0
3,FFA_Round0,Player 8,2.0
3,FFA_Round0,Player 9,9.0
3,FFA_Round0,Player 10,11.0
4,FFA_Round0,Player 1,2.0
4,FFA_Round0,Player 2,2.0
4,FFA_Round0,Player 3,4.0
4,FFA_Round0,Player 4,7.0
4,FFA_Round0,Player 5,1.0
4,FFA_Round0,Player 6,4.0
4,FFA_Round0,Player 7,6.0
4,FFA_Round0,Player 8,7.0
4,FFA_Round0,Player 9,3.0
4,FFA_Round0,Player 10,14.0
5,FFA_Round0,Player 1,1.0
5,FFA_Round0,Player 2,4.0
5,FFA_Round0,Player 3,2.0
5,FFA_Round0,Player 4,5.0
5,FFA_Round0,Player 5,3.0
5,FFA_Round0,Player 6,3.0
5,FFA_Round0,Player 7,13.0
5,FFA_Round0,Player 8,8.0
5,FFA_Round0,Player 9,7.0
5,FFA_Round0,Player 10,4.0
6,FFA_Round0,Player 1,1.0
6,FFA_Round0,Player 2,1.0
6,FFA_Round0,Player 3,2.0
6,FFA_Round0,Player 4,5.0
6,FFA_Round0,Player 5,3.0
6,FFA_Round0,Player 6,7.0
6,FFA_Round0,Player 7,4.0
6,FFA_Round0,Player 8,9.0
6,FFA_Round0,Player 9,9.0
6,FFA_Round0,Player 10,9.0
7,FFA_Round0,Player 1,1.0
7,FFA_Round0,Player 2,4.0
7,FFA_Round0,Player 3,5.0
7,FFA_Round0,Player 4,2.0
7,FFA_Round0,Player 5,4.0
7,FFA_Round0,Player 6,4.0
7,FFA_Round0,Player 7,5.0
7,FFA_Round0,Player 8,13.0
7,FFA_Round0,Player 9,6.0
7,FFA_Round0,Player 10,6.0
8,FFA_Round0,Player 1,0.0
8,FFA_Round0,Player 2,2.0
8,FFA_Round0,Player 3,5.0
8,FFA_Round0,Player 4,3.0
8,FFA_Round0,Player 5,12.0
8,FFA_Round0,Player 6,5.0
8,FFA_Round0,Player 7,9.0
8,FFA_Round0,Player 8,5.0
8,FFA_Round0,Player 9,3.0
8,FFA_Round0,Player 10,6.0
9,FFA_Round0,Player 1,0.0
9,FFA_Round0,Player 2,2.0
9,FFA_Round0,Player 3,4.0
9,FFA_Round0,Player 4,4.0
9,FFA_Round0,Player 5,2.0
9,FFA_Round0,Player 6,9.0
9,FFA_Round0,Player 7,10.0
9,FFA_Round0,Player 8,9.0
9,FFA_Round0,Player 9,3.0
9,FFA_Round0,Player 10,7.0
10,FFA_Round0,Player 1,0.0
10,FFA_Round0,Player 2,4.0
10,FFA_Round0,Player 3,9.0
10,FFA_Round0,Player 4,2.0
10,FFA_Round0,Player 5,7.0
10,FFA_Round0,Player 6,7.0
10,FFA_Round0,Player 7,11.0
10,FFA_Round0,Player 8,4.0
10,FFA_Round0,Player 9,4.0
10,FFA_Round0,Player 10,2.0
11,FFA_Round0,Player 1,0.0
11,FFA_Round0,Player 2,5.0
11,FFA_Round0,Player 3,2.0
11,FFA_Round0,Player 4,12.0
11,FFA_Round0,Player 5,2.0
11,FFA_Round0,Player 6,5.0
11,FFA_Round0,Player 7,4.0
11,FFA_Round0,Player 8,10.0
11,FFA_Round0,Player 9,5.0
11,FFA_Round0,Player 10,5.0
12,FFA_Round0,Player 1,0.0
12,FFA_Round0,Player 2,2.0
12,FFA_Round0,Player 3,4.0
12,FFA_Round0,Player 4,3.0
12,FFA_Round0,Player 5,1.0
12,FFA_Round0,Player 6,8.0
12,FFA_Round0,Player 7,11.0
12,FFA_Round0,Player 8,8.0
12,FFA_Round0,Player 9,6.0
12,FFA_Round0,Player 10,7.0
13,FFA_Round0,Player 1,2.0
13,FFA_Round0,Player 2,2.0
13,FFA_Round0,Player 3,4.0
13,FFA_Round0,Player 4,3.0
13,FFA_Round0,Player 5,3.0
13,FFA_Round0,Player 6,6.0
13,FFA_Round0,Player 7,5.0
13,FFA_Round0,Player 8,11.0
13,FFA_Round0,Player 9,8.0
13,FFA_Round0,Player 10,6.0
14,FFA_Round0,Player 1,0.0
14,FFA_Round0,Player 2,3.0
14,FFA_Round0,Player 3,3.0
14,FFA_Round0,Player 4,8.0
14,FFA_Round0,Player 5,6.0
14,FFA_Round0,Player 6,3.0
14,FFA_Round0,Player 7,4.0
14,FFA_Round0,Player 8,9.0
14,FFA_Round0,Player 9,7.0
14,FFA_Round0,Player 10,7.0
15,FFA_Round0,Player 1,3.0
15,FFA_Round0,Player 2,5.0
15,FFA_Round0,Player 3,4.0
15,FFA_Round0,Player 4,3.0
15,FFA_Round0,Player 5,2.0
15,FFA_Round0,Player 6,2.0
15,FFA_Round0,Player 7,11.0
15,FFA_Round0,Player 8,4.0
15,FFA_Round0,Player 9,8.0
15,FFA_Round0,Player 10,8.0
16,FFA_Round0,Player 1,2.0
16,FFA_Round0,Player 2,6.0
16,FFA_Round0,Player 3,1.0
16,FFA_Round0,Player 4,5.0
16,FFA_Round0,Player 5,3.0
16,FFA_Round0,Player 6,6.0
16,FFA_Round0,Player 7,7.0
16,FFA_Round0,Player 8,3.0
16,FFA_Round0,Player 9,7.0
16,FFA_Round0,Player 10,10.0
17,FFA_Round0,Player 1,2.0
17,FFA_Round0,Player 2,3.0
17,FFA_Round0,Player 3,0.0
17,FFA_Round0,Player 4,2.0
17,FFA_Round0,Player 5,6.0
17,FFA_Round0,Player 6,6.0
17,FFA_Round0,Player 7,7.0
17,FFA_Round0,Player 8,9.0
17,FFA_Round0,Player 9,7.0
17,FFA_Round0,Player 10,8.0
18,FFA_Round0,Player 1,3.0
18,FFA_Round0,Player 2,2.0
18,FFA_Round0,Player 3,3.0
18,FFA_Round0,Player 4,6.0
18,FFA_Round0,Player 5,1.0
18,FFA_Round0,Player 6,5.0
18,FFA_Round0,Player 7,8.0
18,FFA_Round0,Player 8,4.0
18,FFA_Round0,Player 9,7.0
18,FFA_Round0,Player 10,11.0
19,FFA_Round0,Player 1,4.0
