Simulation,Format,Player,Wins
0,FFA_Round0,NapoleonBlownapart,0.0
0,FFA_Round0,PRO_BCTV,6.0
0,FFA_Round0,StarDoM,2.0
0,FFA_Round0,[Stud]Lovish,2.0
0,FFA_Round0,[HypE]RupeDogg,1.0
0,FFA_Round0,TM_8D,4.0
0,FFA_Round0,Darth_Revan,5.0
0,FFA_Round0,Blodir,12.0
1,FFA_Round0,NapoleonBlownapart,0.0
1,FFA_Round0,PRO_BCTV,4.0
1,FFA_Round0,StarDoM,6.0
1,FFA_Round0,[Stud]Lovish,3.0
1,FFA_Round0,[HypE]RupeDogg,3.0
1,FFA_Round0,TM_8D,4.0
1,FFA_Round0,Darth_Revan,5.0
1,FFA_Round0,Blodir,7.0
2,FFA_Round0,NapoleonBlownapart,0.0
2,FFA_Round0,PRO_BCTV,3.0
2,FFA_Round0,StarDoM,4.0
2,FFA_Round0,[Stud]Lovish,1.0
2,FFA_Round0,[HypE]RupeDogg,2.0
2,FFA_Round0,TM_8D,1.0
2,FFA_Round0,Darth_Revan,12.0
2,FFA_Round0,Blodir,9.0
3,FFA_Round0,NapoleonBlownapart,2.0
3,FFA_Round0,PRO_BCTV,3.0
3,FFA_Round0,StarDoM,6.0
3,FFA_Round0,[Stud]Lovish,4.0
3,FFA_Round0,[HypE]RupeDogg,1.0
3,FFA_Round0,TM_8D,5.0
3,FFA_Round0,Darth_Revan,8.0
3,FFA_Round0,Blodir,3.0
4,FFA_Round0,NapoleonBlownapart,0.0
4,FFA_Round0,PRO_BCTV,6.0
4,FFA_Round0,StarDoM,7.0
4,FFA_Round0,[Stud]Lovish,5.0
4,FFA_Round0,[HypE]RupeDogg,4.0
4,FFA_Round0,TM_8D,1.0
4,FFA_Round0,Darth_Revan,6.0
4,FFA_Round0,Blodir,3.0
5,FFA_Round0,NapoleonBlownapart,2.0
5,FFA_Round0,PRO_BCTV,4.0
5,FFA_Round0,StarDoM,3.0
5,FFA_Round0,[Stud]Lovish,0.0
5,FFA_Round0,[HypE]RupeDogg,2.0
5,FFA_Round0,TM_8D,6.0
5,FFA_Round0,Darth_Revan,7.0
5,FFA_Round0,Blodir,8.0
6,FFA_Round0,NapoleonBlownapart,1.0
6,FFA_Round0,PRO_BCTV,5.0
6,FFA_Round0,StarDoM,7.0
6,FFA_Round0,[Stud]Lovish,0.0
6,FFA_Round0,[HypE]RupeDogg,0.0
6,FFA_Round0,TM_8D,6.0
6,FFA_Round0,Darth_Revan,8.0
6,FFA_Round0,Blodir,5.0
7,FFA_Round0,NapoleonBlownapart,2.0
